"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
employment_partner,soziodemographie_und_lebenssituation,,checkbox,"Welcher der folgenden Angaben zur Berufstätigkeit trifft auf Ihren Partner zu?","1, voll berufstätig | 2, Auszubildender (z.B. Lehrling) | 4, Student | 8, nicht berufstätig (Hausfrau, Rentner,..) | 16, arbeitslos | 32, vorübergehende Freistellung (z.B. Erziehungsurlaub) | 64, Teilzeit oder stundenweise berufstätig | -99, Fehlende Antwort",,,,,,,,,,,,
employment_hours_partner,soziodemographie_und_lebenssituation,,text,"Wie viele Stunden pro Woche geht Ihr Partner seiner beruflichen Tätigkeit nach?",,"Trennzeichen: '.' z.B. '38.5' nicht '38,5'",number,-100,100,,,,,,,,
employment_0_embed,soziodemographie_und_lebenssituation,,descriptive,"<div class=""rich-text-field-label""><p> </p> <table style=""border-collapse: collapse; width: 100%; height: 174px;"" border=""1""> <tbody> <tr style=""height: 21px;""> <td style=""width: 37.9056%; border-style: hidden; height: 21px;""><span style=""font-weight: normal;"">Sind Sie derzeit berufstätig ?</span></td> <td style=""width: 62.0944%; border-style: hidden; height: 21px;""><span style=""font-weight: normal;"">{employment_0}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 37.9056%; border-style: hidden; height: 21px;""><span style=""font-weight: normal;"">Wenn ja, arbeiten Sie</span></td> <td style=""width: 62.0944%; border-style: hidden; height: 21px;""><span style=""font-weight: normal;"">{employment_01}</span></td> </tr> <tr style=""height: 44px;""> <td style=""width: 37.9056%; height: 44px; border-style: hidden;""><span style=""font-weight: normal;"">Ihr Vorgesetzter beobachtet was Sie bei der Arbeit tun.</span></td> <td style=""width: 62.0944%; height: 44px; border-style: hidden;""><span style=""font-weight: normal;"">{employment_02}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 37.9056%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">Sie möchten die Arbeit wechseln, können aber nicht.</span></td> <td style=""width: 62.0944%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{employment_03}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 37.9056%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">Ihre Arbeit erschöpft Sie geistig und körperlich.</span></td> <td style=""width: 62.0944%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{employment_04}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 37.9056%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">Sie werden für die Arbeitsstelle, die Sie haben, nicht ausreichend bezahlt.</span></td> <td style=""width: 62.0944%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{employment_05}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 37.9056%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">Ihre Arbeit ist langweilig und monoton.</span></td> <td style=""width: 62.0944%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{employment_06}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
employment_0,soziodemographie_und_lebenssituation,,radio,"Sind Sie derzeit berufstätig?","0, nicht berufstätig | 1, berufstätig | 2, Studium | 3, in Elternzeit | -99, Fehlende Antwort",,,,,,,,LH,,,,
employment_01,soziodemographie_und_lebenssituation,,radio,"Arbeiten Sie in ...","0, Vollzeit | 1, Teilzeit | -99, Fehlende Antwort",,,,,,,,LH,,,,
employment_02,soziodemographie_und_lebenssituation,,radio,"Ihr Vorgesetzter beobachtet was Sie bei der Arbeit tun.","1, Trifft zu | 2, Trifft eher zu | 3, Weder noch | 4, Trifft eher nicht zu | 5, Trifft nicht zu | -99, Fehlende Antwort",,,,,,,,,,employment,,
employment_03,soziodemographie_und_lebenssituation,,radio,"Sie möchten die Arbeit wechseln, können aber nicht.","1, Trifft zu | 2, Trifft eher zu | 3, Weder noch | 4, Trifft eher nicht zu | 5, Trifft nicht zu | -99, Fehlende Antwort",,,,,,,,,,employment,,
employment_04,soziodemographie_und_lebenssituation,,radio,"Ihre Arbeit erschöpft Sie geistig und körperlich.","1, Trifft zu | 2, Trifft eher zu | 3, Weder noch | 4, Trifft eher nicht zu | 5, Trifft nicht zu | -99, Fehlende Antwort",,,,,,,,,,employment,,
employment_05,soziodemographie_und_lebenssituation,,radio,"Sie werden für die Arbeitsstelle, die Sie haben, nicht ausreichend bezahlt.","1, Trifft zu | 2, Trifft eher zu | 3, Weder noch | 4, Trifft eher nicht zu | 5, Trifft nicht zu | -99, Fehlende Antwort",,,,,,,,,,employment,,
employment_06,soziodemographie_und_lebenssituation,,radio,"Ihre Arbeit ist langweilig und monoton.","1, Trifft zu | 2, Trifft eher zu | 3, Weder noch | 4, Trifft eher nicht zu | 5, Trifft nicht zu | -99, Fehlende Antwort",,,,,,,,,,employment,,
job_embed,soziodemographie_und_lebenssituation,,descriptive,"<div class=""rich-text-field-label""><p>Was machen Sie und Ihr Partner beruflich ?</p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 100%; border-style: hidden;""><span style=""font-weight: normal;"">Ihre Beruf :</span></td> </tr> <tr> <td style=""width: 100%; border-style: hidden;""><span style=""font-weight: normal;"">{job}</span></td> </tr> <tr> <td style=""width: 100%; border-style: hidden;""><span style=""font-weight: normal;"">Beruf Ihre Partners :</span></td> </tr> <tr> <td style=""width: 100%; border-style: hidden;""><span style=""font-weight: normal;"">{job_partner}</span></td> </tr> </tbody> </table> <p>Wie lautet Ihre Berufsbezeichnung bzw. die Ihres Partners ?</p> <table style=""border-collapse: collapse; width: 100%; height: 42px;"" border=""1""> <tbody> <tr style=""height: 21px;""> <td style=""width: 24.6313%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">Ihr Beruf :</span></td> <td style=""width: 75.3687%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">{job_title}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 24.6313%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">Beruf Ihres Partners :</span></td> <td style=""width: 75.3687%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">{job_title_partner}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
job,soziodemographie_und_lebenssituation,,radio,"Was machen Sie beruflich?","1, un-/angelernter: Arbeiter, Angestellter, Beamter | 2, mit Berufsausbildung: Handwerker, Facharbeiter, Angestellter, Beamter | 3, höher qualifizierter oder leitender Arbeiter, Angestellter, Beamter | 4, selbstständig (kleiner Betrieb, weniger als 5 Angestellte) | 5, selbstständig (mittlerer oder großer Betrieb, mehr als 5 Angestellte) | -99, Fehlende Antwort",,,,,,,,,,,,
job_partner,soziodemographie_und_lebenssituation,,radio,"Was macht Ihr Partner beruflich?","1, un-/angelernter: Arbeiter, Angestellter, Beamter | 2, mit Berufsausbildung: Handwerker, Facharbeiter, Angestellter, Beamter | 3, höher qualifizierter oder leitender Arbeiter, Angestellter, Beamter | 4, selbstständig (kleiner Betrieb, weniger als 5 Angestellte) | 5, selbstständig (mittlerer oder großer Betrieb, mehr als 5 Angestellte) | -99, Fehlende Antwort",,,,,,,,,,,,
job_title,soziodemographie_und_lebenssituation,,text,"Wie lautet lhre Berufsbezeichnung?",,"Ihr Beruf",,,,,,,,,,,
job_title_partner,soziodemographie_und_lebenssituation,,text,"Wie lautet die Berufsbezeichnung Ihres Partners?",,"Ihr Beruf",,,,,,,,,,,
workload,soziodemographie_und_lebenssituation,,radio,"Wie stark ist Ihre aktuelle Arbeitsbelastung?","1, gar nicht | 2, wenig | 3, durchschnittlich | 4, stark | 5, sehr stark | -99, Fehlende Antwort",,,,,,,,LH,,,,
resumework,soziodemographie_und_lebenssituation,,text,"Wenn Sie wieder arbeiten, wann haben Sie nach der Geburt Ihres Kindes die Arbeit wieder aufgenommen?",,,date_dmy,1900-01-01,2050-01-01,,,,,,,,
parentleave,soziodemographie_und_lebenssituation,,radio,"Haben Sie Elternzeit beantragt? ","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,RH,,,,
parentleave_embed,soziodemographie_und_lebenssituation,,descriptive,"<div class=""rich-text-field-label""><p>Wenn Ja, wie lange haben Sie Elternzeit genommen bzw. werden Elternzeit nehmen ?</p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 9.34788%; border-style: hidden;""><span style=""font-weight: normal;"">vom</span></td> <td style=""width: 39.1304%; border-style: hidden;""><span style=""font-weight: normal;"">{parentleave1from}</span></td> <td style=""width: 22.3913%; border-style: hidden;""><span style=""font-weight: normal;"">bis</span></td> <td style=""width: 32.6812%; border-style: hidden;""><span style=""font-weight: normal;"">{parentleave1to}</span></td> </tr> <tr> <td style=""width: 9.34788%; border-style: hidden;""><span style=""font-weight: normal;"">vom</span></td> <td style=""width: 39.1304%; border-style: hidden;""><span style=""font-weight: normal;"">{parentleave2from}</span></td> <td style=""width: 22.3913%; border-style: hidden;""><span style=""font-weight: normal;"">bis</span></td> <td style=""width: 32.6812%; border-style: hidden;""><span style=""font-weight: normal;"">{parentleave2to}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
parentleave1from,soziodemographie_und_lebenssituation,,text,"Ab wann haben bzw. werden Sie Elternzeit nehmen?",,,date_dmy,1900-01-01,2050-01-01,,,,,,,,
parentleave1to,soziodemographie_und_lebenssituation,,text,"Bis wann haben bzw. werden Sie Elternzeit nehmen?",,,date_dmy,1900-01-01,2050-01-01,,,,,,,,
parentleave2from,soziodemographie_und_lebenssituation,,text,"Ab wann haben bzw. werden Sie weitere Elternzeit nehmen?",,,date_dmy,1900-01-01,2050-01-01,,,,,,,,
parentleave2to,soziodemographie_und_lebenssituation,,text,"Bis wann haben bzw. werden Sie weitere Elternzeit nehmen?",,,date_dmy,1900-01-01,2050-01-01,,,,,,,,
parentleavepart,soziodemographie_und_lebenssituation,,radio,"Hat Ihr Partner Elternzeit beantragt? ","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,RH,,,,
parentleave_embed_2,soziodemographie_und_lebenssituation,,descriptive,"<div class=""rich-text-field-label""><p>Wenn Ja, wie lange hat er Elternzeit genommen bzw. wird er Elternzeit nehmen ?</p> <table style=""border-collapse: collapse; width: 100%; height: 42px;"" border=""1""> <tbody> <tr style=""height: 21px;""> <td style=""width: 9.34788%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">vom</span></td> <td style=""width: 39.1304%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">{parentleave1frompart}</span></td> <td style=""width: 10.9839%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">bis</span></td> <td style=""width: 44.0886%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">{parentleave1topart}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 9.34788%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">vom</span></td> <td style=""width: 39.1304%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">{parentleave2frompart}</span></td> <td style=""width: 10.9839%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">bis</span></td> <td style=""width: 44.0886%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">{parentleave2topart}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
parentleave1frompart,soziodemographie_und_lebenssituation,,text,"Ab wann wird bzw. hat Ihr Partner seine Elternzeit nehmen?",,,date_dmy,1900-01-01,2050-01-01,,,,,,,,
parentleave1topart,soziodemographie_und_lebenssituation,,text,"Bis wann wird bzw. hat Ihr Partner seine Elternzeit Elternzeit nehmen?",,,date_dmy,1900-01-01,2050-01-01,,,,,,,,
parentleave2frompart,soziodemographie_und_lebenssituation,,text,"Ab wann wird bzw. hat Ihr Partner seine weitere Elternzeit nehmen?",,,date_dmy,1900-01-01,2050-01-01,,,,,,,,
parentleave2topart,soziodemographie_und_lebenssituation,,text,"Bis wann wird bzw. hat Ihr Partner seine weitere Elternzeit nehmen?",,,date_dmy,1900-01-01,2050-01-01,,,,,,,,
education_embed,soziodemographie_und_lebenssituation,,descriptive,"<div class=""rich-text-field-label""><p>Welcher ist Ihr höchster Bildungsgrad bzw. der höchste Bildungsgrad Ihres Partners ?</p> <table style=""border-collapse: collapse; width: 100%; height: 42px;"" border=""1""> <tbody> <tr style=""height: 21px;""> <td style=""width: 50%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">Ihr höchster Bildungsgrad :</span></td> <td style=""width: 50%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">höchster Bildungsgrad Ihres Partners :</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 50%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">{education}</span></td> <td style=""width: 50%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">{education_partner}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
education,soziodemographie_und_lebenssituation,,radio,"Welcher ist Ihr höchster Bildungsgrad?","1, ohne Schulabschluss | 2, in Berufs- oder Schulausbildung | 3, Sonderschule | 4, Volks- oder Hauptschule | 5, Mittlere Reife | 6, Fachabitur | 7, Abitur | 8, Hoch-/Fachhochschulabschluss | 9, anderer Abschluss (beispielsweise im Ausland) | -99, Fehlende Antwort",,,,,,,,,,,,
education_partner,soziodemographie_und_lebenssituation,,radio,"Welcher ist der höchste Bildungsgrad Ihres Partners?","1, ohne Schulabschluss | 2, in Berufs- oder Schulausbildung | 3, Sonderschule | 4, Volks- oder Hauptschule | 5, Mittlere Reife | 6, Fachabitur | 7, Abitur | 8, Hoch-/Fachhochschulabschluss | 9, anderer Abschluss (beispielsweise im Ausland) | -99, Fehlende Antwort",,,,,,,,,,,,
nationality_embed,soziodemographie_und_lebenssituation,,descriptive,"<div class=""rich-text-field-label""><p>Welche Staatsangehörigkeit besitzen Sie bzw. der Vater Ihres Kindes ?</p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 41.3169%; border-style: hidden;""><span style=""font-weight: normal;"">Ihre Staatsangehörigkeit :</span></td> <td style=""width: 58.6831%; border-style: hidden;""><span style=""font-weight: normal;"">{nationality}</span></td> </tr> <tr> <td style=""width: 41.3169%; border-style: hidden;""><span style=""font-weight: normal;"">Staatsangehörigkeit des Kindesvaters : </span></td> <td style=""width: 58.6831%; border-style: hidden;""><span style=""font-weight: normal;"">{nationality_partner}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
nationality,soziodemographie_und_lebenssituation,,radio,"Welche Staatsangehörigkeit besitzen Sie?","1, deutsch | 2, andere {nationality_foreign} | -99, Fehlende Antwort",,,,,,,,,,,,
nationality_partner,soziodemographie_und_lebenssituation,,radio,"Welche Staatsangehörigkeit besitzt der Vater des Kindes?","1, deutsch | 2, andere {nationality_foreign_father} | -99, Fehlende Antwort",,,,,,,,,,,,
nationality_foreign,soziodemographie_und_lebenssituation,,text,"Ihre Staatsangehörigkeit",,,,,,,,,,,,,
nationality_foreign_father,soziodemographie_und_lebenssituation,,text,"Staatsangehörigkeit des Kindsvaters",,,,,,,,,,,,,
nationality_1_embed,soziodemographie_und_lebenssituation,,descriptive,"<div class=""rich-text-field-label""><p>Welche ethnische Herkunft haben Ihre leiblichen Eltern?</p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 50%; border-style: hidden;""><span style=""font-weight: normal;"">Ihre Mutter :</span></td> <td style=""width: 50%; border-style: hidden;""><span style=""font-weight: normal;"">Ihr Vater :</span></td> </tr> <tr> <td style=""width: 50%; border-style: hidden;""><span style=""font-weight: normal;"">{nationality_mother}</span></td> <td style=""width: 50%; border-style: hidden;""><span style=""font-weight: normal;"">{nationality_father}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
nationality_2_embed,soziodemographie_und_lebenssituation,,descriptive,"<div class=""rich-text-field-label""><p>Welche ethnische Herkunft haben die Eltern des Kindsvaters?</p> <table style=""border-collapse: collapse; width: 100%; height: 44px;"" border=""1""> <tbody> <tr style=""height: 22px;""> <td style=""width: 50%; border-style: hidden; height: 22px;""><span style=""font-weight: normal;"">Mutter des Kindsvaters :</span></td> <td style=""width: 50%; border-style: hidden; height: 22px;""><span style=""font-weight: normal;"">Vater des Kindsvaters :</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 50%; border-style: hidden; height: 22px;""><span style=""font-weight: normal;"">{nationality_mother_father}</span></td> <td style=""width: 50%; border-style: hidden; height: 22px;""><span style=""font-weight: normal;"">{nationality_father_father}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
nationality_mother,soziodemographie_und_lebenssituation,,checkbox,"Welche ethnische Herkunft haben Ihre leiblichen Eltern? 
Ihre Mutter :","1, Mitteleuropäisch | 2, Arabisch | 3, Eurasisch | 4, Südamerikanisch | 5, Asiatisch | 6, Afrikanisch | -99, Fehlende Antwort",,,,,,,,LV,,,,
